source_id,source_id_dr2,source_id_dr3,HD Number,GJ Number,HIP Number,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,Distance [pc],T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Yearly_Observable_nights,K_σ_RV_total [m/s],HZ Detection Limit [M_Earth],K_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_p-mode [m/s],σ_granulation [m/s],σ_supergranulation [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 5902750168276592256,5902750168276592256,5902750168276592256,HD 136352,GJ 582,75181,230.4397756821488,-48.31885569587278,5.482170104980469,5.482170104980469,5.811648845672607,4.974900245666504,0.8367486000061035,67.84669435693799,14.73911160268253,5620.91,0.94079065,1.0413179,1.0581557,1.019914157386467,387.8307114221698,248,0.08019680609824066,0.8786003547184101,0.03213493902083905,0.3520560256224849,0.1684633464066345,0.6495667435386698,0.3662718240975267,0.882132140919569,0.4204215952509643,0.7940434459215121,4.3504,-4.86883233682,2.03113280655811,HD_number_match,G,PM*,GAIA,G2-V,G2V,1,0,1,1,2.5
Gaia DR3 4758877919212831104,4758877919212831104,4758877919212831104,HD 40307,GJ 2046,27887,88.51720463376759,-60.023737219948,7.128657276215553,6.857923030853271,7.359889030456543,6.19348669052124,1.166402339935303,77.3261340611626,12.93223839703444,4907.0,0.7568047,0.2594847,0.75517464,0.5236220168330016,159.0663080695983,247,0.07090970120451177,0.4992436050238176,0.04960236637163561,0.349228156154068,0.2596602998017937,0.3450616069701712,0.2432608282182192,0.5858714241171527,0.37120072328138,1.75728268109685,,-5.25891545025,0.4572991062426492,HD_number_match,K,PM*,GAIA,K2.5V,K2.5V,0,1,1,0,2.0
Gaia DR3 6847167606385195648,6847167606385195648,6847167606385195648,HD 192310,GJ 785,99825,303.8286649315622,-27.03378080946467,5.706821329026222,5.481349945068359,5.935905933380127,4.855769157409668,1.080136775970459,113.4871798847664,8.811567976359871,4978.235,0.84917706,0.38908634,0.79156786,0.6394719386028508,202.66388946563,243,0.06070312540506773,0.5002958724523116,0.02602739297096883,0.2145095032122173,0.1351297147868938,0.3996198518129659,0.2635695252437283,0.6347830607972076,0.3151601096509864,1.712118408202441,4.4981,-5.30569523093,0.3824246841384515,HD_number_match,K,PM*,GAIA,K2+V,K2V,1,0,1,0,2.0
Gaia DR3 2452378776434477184,2452378776434276992,2452378776434477184,HD 10700,GJ 71,8102,26.0090550571601,-15.93368020069386,3.571155598571301,3.300399780273438,3.799520492553711,2.748299360275269,1.051221132278442,273.8097451185997,3.652170961142577,5420.00830078125,0.81,0.4528975188732147,0.914,0.6780904780848228,226.5855562810302,240,0.06061589726871203,0.5024338210309615,0.01235117594276439,0.1023765844072056,0.06372480476792133,0.4601753676917382,0.2857084787158296,0.6881027024927788,0.312742384788384,1.060831560138101,,-4.99718092445,1.243596999180874,HD_number_match,F,PM*,,G8V,G8V,1,0,1,0,2.0
Gaia DR3 4847957293278177024,4847957293277762560,4847957293278177024,HD 20794,GJ 139,15510,50.00034361894219,-43.06655252783423,4.063914775848389,4.063914775848389,4.440890789031982,3.508292675018311,0.9325981140136719,165.5242095575573,6.041412326770681,5427.3184,0.88599557,0.64640737,0.9096495,0.8098666161325424,282.7793769196336,258,0.06379179211551542,0.6043566736006712,0.01500188431861197,0.1421262611359252,0.0802401676628899,0.5228162358938716,0.3118437911709577,0.7510472087660903,0.3412014108464192,1.177088983194154,4.4433,-4.94625344122,1.510842828902312,HD_number_match,G,PM*,GAIA,G6V,G6V,1,0,1,0,2.0
Gaia DR3 5726982995343100928,5726982995343100928,5726982995343100928,HD 69830,GJ 302,40693,124.6010488393659,-12.63656179358332,5.755219459533691,5.755219459533691,6.13964319229126,5.203418254852295,0.9362249374389648,79.49527095617434,12.57936463354278,5361.131,0.8726523,0.597206,0.8927628,0.7804998265190011,269.5763943673536,252,0.06949006871821493,0.6414100505210698,0.03201871358546835,0.295540428687066,0.1692601767896408,0.5036370135031565,0.3061968978972234,0.7374471835242439,0.3673445931852637,1.226402369197755,4.4575,-5.01637100599,1.155644162951503,HD_number_match,G,PM*,GAIA,G8:V,G8,1,0,1,0,2.0
Gaia DR3 5381537023379295232,5381537023379295232,5381537023379295232,HD 102365,GJ 442,57443,176.6205205763661,-40.4985651456299,4.701675891876221,4.701675891876221,5.051711559295654,4.195355892181396,0.8563556671142578,107.3024338562276,9.319453101500756,5538.9297,0.92678267,0.85971,0.9857168,0.9297919389433966,340.1206305972193,266,0.06944299450851499,0.720968476254795,0.02088247727308321,0.2168052793022065,0.1133940392740761,0.5926520497047932,0.3403245751876772,0.8196405684700214,0.3770827351387976,0.9676569692153486,4.3867,-4.88357510485,1.919841281797592,HD_number_match,F,PM*,GAIA,G2V,G2V,1,0,1,0,2.0
Gaia DR3 3507879565090229888,3507879565090229888,3507879565090229888,HD 115617,GJ 506,64924,199.596298132351,-18.31592210064546,4.532528400421143,4.532528400421143,4.904673099517822,4.006235122680664,0.8984379768371582,117.1726460991387,8.534415098502675,5571.85791015625,0.89668727,0.8442275,0.99628156,0.9201578535979812,340.4209398920711,257,0.07151357180371477,0.7265175937409041,0.01994613894829392,0.2026359543739568,0.1064614568538558,0.5984242868416478,0.3475336643089466,0.8370029993266521,0.3816998898274249,0.906764956917385,,-4.93133796278,1.599480617912704,HD_number_match,G,PM*,GAIA,G6.5V,G6.5V,1,0,1,0,2.0
Gaia DR3 4657193606465368704,4657193606465368704,4657193606465368704,HD 39194,GJ 217.2,27080,86.12894471761606,-70.13806560262964,7.864647388458252,7.864647388458252,8.261411666870117,7.290993213653564,0.9704184532165527,37.82347285358811,26.43860874095106,5150.351,0.82322896,0.40066,0.8112871,0.6446335008934136,208.3302093117001,226,0.09886524239882624,0.8055015613867987,0.07981610573458224,0.6502992986520317,0.3996286421958765,0.4188987833925032,0.2712420964603152,0.6532617458293477,0.4950051398347132,1.541689549412003,4.5089,-5.24130968,0.4891318367250553,HD_number_match,G,PM*,GAIA,K0V,K0V,0,1,1,0,2.0
Gaia DR3 6427244702486210816,6427244702486210816,6427244702486210816,HD 189567,GJ 776,98959,301.396266053525,-67.32389294266508,5.91546106338501,5.91546106338501,6.239302635192871,5.418190956115723,0.8211116790771484,55.76543555731051,17.93225480992242,5631.3403,0.9574586,1.0285605,1.0393018,1.013220099603891,380.6615005810982,232,0.08471104474264851,0.9331639090610774,0.04074491462403249,0.4488397459909932,0.2065997658614296,0.6414080638120929,0.3573527949134353,0.8606514760377633,0.4295329164681946,0.8528938169750084,4.353,-4.80647482789,2.577815232877307,HD_number_match,G,PM*,GAIA,G2V,G2V,1,0,1,0,2.0
